OMEGACAM_37p2_0p5   DEEP0228                   
OMEGACAM_352p0_0p0  DEEP2328        
OMEGACAM_353p0_0p0  DEEP2332        
OMEGACAM_36p7_m4p6  VVDSf02         
OMEGACAM_31p7_m4p6  KIDZ_31.6_-4.6  
OMEGACAM_32p7_m4p6  KIDZ_32.6_-4.6  
OMEGACAM_33p7_m4p6  KIDZ_33.6_-4.6  
OMEGACAM_34p5_m5p0  KIDZ_34.5_-5.0 
OMEGACAM_34p6_m4p6  KIDZ_34.6_-4.6  
OMEGACAM_35p7_m4p6  KIDZ_35.6_-4.6  
OMEGACAM_37p7_m4p6  KIDZ_37.6_-4.6  
OMEGACAM_151p1_2p0  KIDZ_151.1_2.0  
OMEGACAM_209p4_5p1  KIDZ_209.4_5.1  
OMEGACAM_210p4_5p1  KIDZ_210.4_5.1  
OMEGACAM_330p5_1p9  KIDZ_330.5_1.9  
OMEGACAM_331p5_1p9  KIDZ_331.5_1.9  
OMEGACAM_332p5_1p9  KIDZ_332.5_1.9  
OMEGACAM_333p5_1p9  KIDZ_333.5_1.9  
OMEGACAM_334p0_m0p2 KIDZ_333.9_-0.1 
OMEGACAM_334p0_0p9  KIDZ_333.9_0.9  
OMEGACAM_334p5_1p9  KIDZ_334.5_1.9  
OMEGACAM_335p0_m0p1 KIDZ_334.9_-0.1 
OMEGACAM_335p0_0p9  KIDZ_334.9_0.9  
