# AW Keyword,New Keyword,Comment,Unit
SeqNr,SeqNr,"Running object number within the catalogue",""
SLID,SLID,"AstroWise Source list ID",""
SID,SID,"AstroWise Source ID within the source list",""
ESO_ID,ID,"ESO ID",""
FLUX_AUTO_THELI,FLUX_AUTO,"r-band flux (count)","count"
FLUXERR_AUTO_THELI,FLUXERR_AUTO,"Error on FLUX_AUTO (count)","count"
MAG_AUTO_THELI,MAG_AUTO,"r-band magnitude (mag)","mag"
MAGERR_AUTO_THELI,MAGERR_AUTO,"Error on MAG_AUTO (mag)","mag"
KRON_RADIUS_THELI,KRON_RADIUS,"Scaling radius of the ellipse for magnitude measurements","pixel"
BackGr_THELI,BackGr,"Background count at centroid position (count)","count"
Level_THELI,Level,"Detection threshold above background (count)","count"
MU_THRESHOLD_THELI,MU_THRESHOLD,"Detection threshold above background (mag arcsec^-2)","mag * arcsec**(-2)"
MaxVal_THELI,MaxVal,"Peak flux above background (count)","count"
MU_MAX_THELI,MU_MAX,"Peak surface brightness above background (mag arcsec^-2)","mag * arcsec**(-2)"
ISOAREA_WORLD_THELI,ISOAREA_WORLD,"Isophotal area above analysis threshold (deg^2)","deg**2"
Xpos_THELI,Xpos,"Centroid x position in the THELI image (pix)","pixel"
Ypos_THELI,Ypos,"Centroid y position in the THELI image (pix)","pixel"
RA,RAJ2000,"Centroid sky position right ascension (J2000) (deg)","deg"
DEC,DECJ2000,"Centroid sky position declination (J2000) (deg)","deg"
A_WORLD_THELI,A_WORLD,"Profile RMS along major axis (deg)","deg"
B_WORLD_THELI,B_WORLD,"Profile RMS along minor axis (deg)","deg"
THETA_J2000_THELI,THETA_J2000,"Position angle (West of North) (deg)","deg"
THETA_WORLD_THELI,THETA_WORLD,"Position angle (Counterclockwise from world x-axis (deg)","deg"
ERRA_WORLD_THELI,ERRA_WORLD,"World RMS position error along major axis (deg)","deg"
ERRB_WORLD_THELI,ERRB_WORLD,"World RMS position error along minor axis (deg)","deg"
ERRTHETA_J2000_THELI,ERRTHETA_J2000,"Error on THETA_J2000 (deg)","deg"
ERRTHETA_WORLD_THELI,ERRTHETA_WORLD,"Error on THETA_WORLD (deg)","deg"
FWHM_IMAGE_THELI,FWHM_IMAGE,"FWHM assuming a gaussian object profile (pix)","pixel"
FWHM_WORLD_THELI,FWHM_WORLD,"FWHM assuming a gaussian object profile (deg)","deg"
Flag_THELI,Flag,"SExtractor extraction flags",""
FLUX_RADIUS_THELI,FLUX_RADIUS,"Half-light radius (pix)","pixel"
CLASS_STAR_THELI,CLASS_STAR,"Star-galaxy classifier",""
EXTINCTION_u,EXTINCTION_u,"Galactic extinction in the u band (mag)","mag"
EXTINCTION_g,EXTINCTION_g,"Galactic extinction in the g band (mag)","mag"
EXTINCTION_r,EXTINCTION_r,"Galactic extinctio" in the r band (mag)","mag"
EXTINCTION_i,EXTINCTION_i,"Galactic extinc"ion in the i band (mag)","mag"
A_GAAP_r,Agaper_0p7,"Major axis of GAaP aperture minaper 0.7arcs (arcsec)","arcsec"
B_GAAP_r,Bgaper_0p7,"Minor axis of GAaP aperture minaper 0.7arcs (arcsec)","arcsec"
A_GAAP_r_1p0,Agaper_1p0,"Major axis of GAaP aperture minaper 1.0arcs (arcsec)","arcsec"
B_GAAP_r_1p0,Bgaper_1p0,"Minor axis of GAaP aperture minaper 1.0arcs (arcsec)","arcsec"
PA_GAAP_r,PAgaap,"Position angle of major axis of GAaP aperture (North of West) (deg)","deg"
FLAG_GAAP_u,FLAG_GAAP_0p7_u,"GAaP Flag for MAG_GAAP_u minaper 0.7arcs",""
FLAG_GAAP_g,FLAG_GAAP_0p7_g,"GAaP Flag for MAG_GAAP_g minaper 0.7arcs",""
FLAG_GAAP_r,FLAG_GAAP_0p7_r,"GAaP Flag for MAG_GAAP_r minaper 0.7arcs",""
FLAG_GAAP_i,FLAG_GAAP_0p7_i1,"GAaP Flag for MAG_GAAP_i1 minaper 0.7arcs",""
FLAG_GAAP_i2,FLAG_GAAP_0p7_i2,"GAaP Flag for MAG_GAAP_i2 minaper 0.7arcs",""
FLUX_GAAP_u,FLUX_GAAP_0p7_u,"GAAP u-band flux minaper 0.7arcs (count)","count"
FLUX_GAAP_g,FLUX_GAAP_0p7_g,"GAAP g-band flux minaper 0.7arcs (count)","count"
FLUX_GAAP_r,FLUX_GAAP_0p7_r,"GAAP r-band flux minaper 0.7arcs (count)","count"
