OBJECT,Catalogue,u_kids,u_gaia,u_kids_10,u_gaia_10,g_kids,g_gaia,g_kids_10,g_gaia_10,r_kids,r_gaia,r_kids_10,r_gaia_10,i_kids,i_gaia,i_kids_10,i_gaia_10,i2_kids,i2_gaia,i2_kids_10,i2_gaia_10,Ebv,b,Survey,FLAG
KIDS_136.0_-1.5,KIDS_136p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0377190291957464,0.0294827686563738,0.0393937882931452,0.0310337686563738,0.0453558368296326,0.047114,0.0446986365489424,0.049942,0.0316482024150244,0.043111,0.0334203758336682,0.044887,0.0261291591913091,0.026201,0.029471467417657,0.028554,0.0415879972396055,0.038555,0.0445634064008653,0.041005,0.017655,28.3158,KiDS,0
KIDS_158.0_-1.5,KIDS_158p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0650136526596751,-0.0412678112175822,0.0931327009778399,-0.0411658112175822,-0.1269220242087512,-0.142606,-0.1159866746999059,-0.139288,-0.0351646828535393,-0.026905,-0.0324363928245329,-0.02514,0.0189565986125937,0.029854,0.0190289529106922,0.031699,0.0066902947103354,0.019887,0.0063691005407094,0.022073,0.0471,45.9009,KiDS,0
KIDS_356.5_-32.1,KIDS_356p5_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1222648776260175,-0.0055304099170162,0.1151216618318458,-0.0032454099170162,0.0343612451168103,0.036286,0.0331866583801458,0.037687,0.0196122577004121,0.033138,0.0232748359167823,0.036266,0.0383306607777792,0.038097,0.0429698065356857,0.040914,-0.020625190258988,-0.021167,-0.0143499967279495,-0.018174,0.011713,-74.9288,KiDS,0
KIDS_238.0_-0.5,KIDS_238p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1062732656209755,0.0539851316347466,0.103381862034128,0.0542271316347466,0.0377445549271739,0.032296,0.038637820227594,0.033994,0.0189937099744273,0.020567,0.0212119351012832,0.021962,0.0099580037457785,0.013346,0.0138380176968224,0.015855,0.0191238290316347,0.020448,0.0224258379698253,0.023137,0.085622,38.5904,KiDS,0
KIDS_129.4_2.5,KIDS_129p4_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0442167946390873,-0.0076915602415335,0.0411283551119674,-0.0076165602415335,0.0247679961483852,0.021009,0.0248125618025726,0.022602,0.0306160801570621,0.045256,0.0318834262466417,0.046799,0.032964373137099,0.044112,0.0349732906793513,0.045475,0.0421741044160699,0.052419,0.044196186378749,0.054488,0.032611,24.6076,KiDS,0
KIDS_11.2_-27.2,KIDS_11p2_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0370246542921238,0.0301636707396594,0.033625236690257,0.0425866707396594,-0.1096671699567513,-0.092864,-0.1067769755914799,-0.089496,-0.0959597028060969,-0.084728,-0.0909156478117991,-0.082071,0.0608937277285582,0.057422,0.068281535867846,0.061594,0.0365812409183311,0.031761,0.0430019346095659,0.03768,0.009952,-88.4903,KiDS,0
KIDS_12.5_-29.2,KIDS_12p5_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0978974198354205,-0.1147627252234338,0.0873377888216,-0.1145697252234338,-0.0857974041608884,-0.064555,-0.0852863350045159,-0.059795,-0.0831094623088745,-0.071745,-0.0798655159742289,-0.068919,0.0395133504438637,0.027422,0.0445544829767785,0.029627,0.031878924183012,0.013836,0.0390896099900519,0.01877,0.015286,-87.8939,KiDS,0
KIDS_15.0_-30.2,KIDS_15p0_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.2571703380905514,0.0274688593392582,0.2482243896872298,0.0290478593392582,0.0185650627609761,0.058955,0.0196510764183725,0.061568,0.0550362772172775,0.064147,0.0568240575834591,0.066539,0.035759992027088,0.01454,0.0374169574984594,0.018026,0.0613336352499359,0.038903,0.0635823587423248,0.041438,0.018245,-86.4205,KiDS,0
KIDS_212.0_0.5,KIDS_212p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1380556874358175,0.0470965943421997,0.1377635526337542,0.0472075943421997,0.0536014435334224,0.041856,0.0554273050854993,0.043613,0.0080192320268364,0.016711,0.0099347956185754,0.019697,0.0048680488061266,0.005945,0.0072317902160709,0.007746,0.0296700918923495,0.03181,0.0328936315098558,0.035163,0.033929,57.6394,KiDS,0
KIDS_190.0_-0.5,KIDS_190p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0872813984466727,-0.0253294997964506,0.1034827806897918,-0.0213694997964506,-0.0280834687777675,-0.043582,-0.0248392522240191,-0.036903,0.0015626344728248,0.003631,0.0067775980934326,0.009504,0.0095645004291171,0.007022,0.0154378646144363,0.01386,0.0703759633417903,0.067651,0.0789525861331691,0.07561,0.020075,62.226,KiDS,0
