OBJECT,Catalogue,off_u_gaia,dmag_u,off_u
KIDS_136.0_-1.5,KIDS_136p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.029398393656373867,0.0377190291957464,0.008320635539372533
KIDS_158.0_-1.5,KIDS_158p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.041267811217582245,0.0650136526596751,0.10628146387725734
KIDS_356.5_-32.1,KIDS_356p5_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.005506034917016234,0.1222648776260175,0.12777091254303374
KIDS_238.0_-0.5,KIDS_238p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.054026381634746684,0.1062732656209755,0.052246883986228815
KIDS_129.4_2.5,KIDS_129p4_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.007670935241533561,0.0442167946390873,0.05188772988062086
KIDS_11.2_-27.2,KIDS_11p2_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.030073670739659483,0.0370246542921238,0.006950983552464318
KIDS_12.5_-29.2,KIDS_12p5_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.11478897522343381,0.0978974198354205,0.2126863950588543
KIDS_15.0_-30.2,KIDS_15p0_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.027553234339258215,0.2571703380905514,0.22961710375129318
KIDS_212.0_0.5,KIDS_212p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.04715096934219974,0.1380556874358175,0.09090471809361776
KIDS_190.0_-0.5,KIDS_190p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.02537637479645062,0.0872813984466727,0.11265777324312332
KIDS_336.1_-29.2,KIDS_336p1_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.023875339262046533,-0.0257896320830141,-0.049664971345060635
KIDS_48.2_-32.1,KIDS_48p2_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.015529630106097037,0.1103286716712124,0.09479904156511536
KIDS_350.8_-30.2,KIDS_350p8_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.11533314922197771,0.0469396152605259,0.1622727644825036
KIDS_168.5_2.5,KIDS_168p5_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.21994907054396898,-0.0936435386509179,0.12630553189305108
KIDS_131.0_-0.5,KIDS_131p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.034095820008805316,0.0346598871113264,0.0005640671025210833
KIDS_45.6_-29.2,KIDS_45p6_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0705385794357858,0.2716926876819701,0.2011541082461843
KIDS_16.8_-34.1,KIDS_16p8_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.02232089587647003,0.1512503180760741,0.1735712139525441
KIDS_24.3_-35.1,KIDS_24p3_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.12935326020609209,0.0560550776194653,0.18540833782555738
KIDS_47.1_-32.1,KIDS_47p1_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.08600781654748166,0.2397873536564272,0.15377953710894554
KIDS_345.3_-28.2,KIDS_345p3_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.06893549362218765,0.0415334353596068,0.11046892898179445
KIDS_198.0_0.5,KIDS_198p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.024268392085229074,0.0260853036210751,0.0018169115358460282
KIDS_4.6_-30.2,KIDS_4p6_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.048706285250569165,0.1757427075218661,0.22444899277243527
KIDS_231.0_1.5,KIDS_231p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.03534372463446836,0.0486418374122829,0.08398556204675126
KIDS_46.8_-34.1,KIDS_46p8_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.049067015840507155,0.1995123499720235,0.15044533413151634
KIDS_171.0_-0.5,KIDS_171p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0452836696023452,1.3062217302593435,1.3515053998616886
KIDS_46.2_-35.1,KIDS_46p2_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.05916599980321946,0.0571761940547592,0.11634219385797866
KIDS_27.3_-29.2,KIDS_27p3_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.06397429445632646,0.1989545403978678,0.26292883485419427
KIDS_212.0_1.5,KIDS_212p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.014836854115769849,0.111657789292419,0.09682093517664915
KIDS_224.6_-2.5,KIDS_224p6_m2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.057434603260803976,0.0901410609625678,0.03270645770176382
KIDS_30.0_-34.1,KIDS_30p0_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.05029508878284869,0.168790052130569,0.2190851409134177
KIDS_15.4_-33.1,KIDS_15p4_m33p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.050939559113564736,0.1324289515181039,0.18336851063166865
KIDS_17.5_-31.2,KIDS_17p5_m31p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.029587150549019392,0.1524517419823235,0.1820388925313429
KIDS_338.6_-28.2,KIDS_338p6_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.03729200065951905,0.1140233439313841,0.07673134327186504
KIDS_16.1_-30.2,KIDS_16p1_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.03767133611572443,0.0586750605646604,0.09634639668038483
KIDS_233.0_0.5,KIDS_233p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.11969868529362804,-0.0682073127683775,0.05149137252525053
KIDS_345.0_-30.2,KIDS_345p0_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.10465626042533234,0.090849600930998,-0.013806659494334336
KIDS_215.0_0.5,KIDS_215p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.021152477000958333,0.095082471691913,0.07392999469095467
KIDS_176.5_-2.5,KIDS_176p5_m2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0652254157054866,0.021114385375654,0.08633980108114059
KIDS_352.0_-29.2,KIDS_352p0_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.016258845472542333,0.072414441400203,0.05615559592766067
KIDS_135.0_-0.5,KIDS_135p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.14842933151980509,0.1741789429948826,0.02574961147507751
KIDS_38.4_-28.2,KIDS_38p4_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.15818584205022404,0.0744392354741967,0.23262507752442074
KIDS_354.4_-27.2,KIDS_354p4_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.11506859113260362,0.0151910252795327,0.13025961641213632
KIDS_329.4_-32.1,KIDS_329p4_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.018222645252589043,0.1099744042035999,0.09175175895101086
KIDS_29.2_-27.2,KIDS_29p2_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.021056680588027066,0.2206265530794061,0.19956987249137903
KIDS_14.4_-34.1,KIDS_14p4_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.08443252984805914,0.1557413123167141,0.07130878246865495
KIDS_337.6_-27.2,KIDS_337p6_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.05613867163666833,0.0705874177550971,0.014448746118428765
KIDS_34.1_-35.1,KIDS_34p1_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.370294288960889,-0.0700976819322649,0.3001966070286241
KIDS_50.6_-30.2,KIDS_50p6_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.1501465976361787,0.2446301822775926,0.09448358464141388
KIDS_21.9_-35.1,KIDS_21p9_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.11094081196962038,0.0646246743432507,0.17556548631287108
KIDS_220.0_0.5,KIDS_220p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.02497487768841722,0.0435003230827077,0.06847520077112493
KIDS_133.0_-0.5,KIDS_133p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.06701559479285962,0.0349521617969304,-0.032063432995929224
KIDS_340.6_-29.2,KIDS_340p6_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.049637970573505205,0.1250784515173722,0.075440480943867
KIDS_331.2_-30.2,KIDS_331p2_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.010894455913946027,0.0070934053171863,0.01798786123113233
KIDS_161.4_3.5,KIDS_161p4_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.006757556465282269,0.205990529015998,0.21274808548128027
KIDS_343.0_-35.1,KIDS_343p0_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.020875805098541478,0.0336642590023694,0.054540064100910876
KIDS_238.0_0.5,KIDS_238p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.010437887513195424,0.107734492147419,0.09729660463422357
KIDS_129.0_-0.5,KIDS_129p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.05833782165762517,0.0700994595299226,0.011761637872297427
KIDS_197.5_-2.5,KIDS_197p5_m2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.11461348151461162,-0.056826419022357,0.05778706249225462
KIDS_164.0_-1.5,KIDS_164p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.22125908623496063,-0.0884599837302312,0.13279910250472943
KIDS_348.8_-27.2,KIDS_348p8_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.12347831371390192,-0.0008821519788423,0.12259616173505962
KIDS_210.6_3.5,KIDS_210p6_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.10856547095616195,-0.0426872761569013,0.06587819479926066
KIDS_39.6_-34.1,KIDS_39p6_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0001426901342063691,0.0708942261204436,0.07075153598623724
KIDS_13.7_-29.2,KIDS_13p7_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.10218114500363012,-0.0454459706837707,0.05673517431985942
KIDS_233.6_2.5,KIDS_233p6_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.10576260262269335,-0.012616684165837,0.09314591845685635
KIDS_189.0_-1.5,KIDS_189p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.189218404864802,-0.1208729025129065,0.06834550235189549
KIDS_15.7_-27.2,KIDS_15p7_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.05526544257830447,0.0421458371298816,-0.013119605448422875
KIDS_358.9_-27.2,KIDS_358p9_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0953000314720703,0.0086703415711021,0.1039703730431724
KIDS_168.0_1.5,KIDS_168p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.05400431064526581,0.1184814527025378,0.17248576334780363
KIDS_335.2_-28.2,KIDS_335p2_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.06809985531140351,0.0464813809651937,-0.021618474346209816
