OBJECT,Catalogue,Survey,off_u_gaia_0p7,off_u_gaia_1p0,dmag_u_0p7,dmag_u_1p0,off_u_0p7,off_u_1p0
KIDS_136.0_-1.5,KIDS_136p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.029482768656373864,0.03103376865637386,0.0377190291957464,0.0393937882931452,0.008236260539372535,0.00836001963677134
KIDS_158.0_-1.5,KIDS_158p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.041267811217582245,-0.041165811217582254,0.0650136526596751,0.0931327009778399,0.10628146387725734,0.13429851219542216
KIDS_356.5_-32.1,KIDS_356p5_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.005530409917016227,-0.0032454099170162315,0.1222648776260175,0.1151216618318458,0.1277952875430337,0.11836707174886203
KIDS_238.0_-0.5,KIDS_238p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.05398513163474669,0.054227131634746684,0.1062732656209755,0.103381862034128,0.05228813398622881,0.04915473039938131
KIDS_129.4_2.5,KIDS_129p4_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.007691560241533557,-0.007616560241533565,0.0442167946390873,0.0411283551119674,0.05190835488062086,0.048744915353500964
KIDS_11.2_-27.2,KIDS_11p2_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.030163670739659476,0.042586670739659487,0.0370246542921238,0.033625236690257,0.006860983552464325,-0.008961434049402486
KIDS_12.5_-29.2,KIDS_12p5_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.11476272522343381,-0.11456972522343381,0.0978974198354205,0.0873377888216,0.2126601450588543,0.20190751404503382
KIDS_15.0_-30.2,KIDS_15p0_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.027468859339258217,0.029047859339258214,0.2571703380905514,0.2482243896872298,0.22970147875129318,0.21917653034797158
KIDS_212.0_0.5,KIDS_212p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.04709659434219973,0.04720759434219973,0.1380556874358175,0.1377635526337542,0.09095909309361777,0.09055595829155447
KIDS_190.0_-0.5,KIDS_190p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.02532949979645062,-0.021369499796450614,0.0872813984466727,0.1034827806897918,0.11261089824312331,0.12485228048624242
KIDS_336.1_-29.2,KIDS_336p1_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.023869714262046524,0.024202714262046524,-0.0257896320830141,-0.0155416160543557,-0.049659346345060626,-0.039744330316402225
KIDS_48.2_-32.1,KIDS_48p2_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.01557088010609703,0.016915880106097042,0.1103286716712124,0.1211170774942624,0.09475779156511537,0.10420119738816536
KIDZ_334.5_1.9,OMEGACAM_334p5_1p9_r_SDSS.V1.2.0A_KiDS-1347_GAaP_Gaia.fits,KiDZ,-0.07229050895119235,-0.06953350895119237,-0.0551552279373285,-0.0601230219261422,0.01713528101386385,0.009410487025050165
KIDS_350.8_-30.2,KIDS_350p8_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.11535189922197772,-0.1148908992219777,0.0469396152605259,0.0533275860196797,0.16229151448250362,0.1682184852416574
KIDS_168.5_2.5,KIDS_168p5_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.21993032054396897,-0.21993032054396897,-0.0936435386509179,-0.0638235847469962,0.12628678189305106,0.15610673579697276
KIDS_131.0_-0.5,KIDS_131p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.034026445008805306,0.03781744500880531,0.0346598871113264,0.0360326462250151,0.0006334421025210937,-0.0017847987837902105
KIDS_45.6_-29.2,KIDS_45p6_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.0704823294357858,0.0702883294357858,0.2716926876819701,0.2750919374502291,0.20121035824618427,0.20480360801444328
KIDS_16.8_-34.1,KIDS_16p8_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.022230895876470022,-0.026650895876470015,0.1512503180760741,0.1400452977821376,0.17348121395254412,0.1666961936586076
KIDS_24.3_-35.1,KIDS_24p3_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.12940763520609208,-0.1281556352060921,0.0560550776194653,0.0531683985705547,0.18546271282555737,0.1813240337766468
KIDS_47.1_-32.1,KIDS_47p1_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.08603781654748166,0.08717381654748166,0.2397873536564272,0.249559895308112,0.15374953710894554,0.16238607876063035
KIDS_345.3_-28.2,KIDS_345p3_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.06892049362218763,-0.06892049362218763,0.0415334353596068,0.0346781950362962,0.11045392898179443,0.10359868865848383
KIDS_198.0_0.5,KIDS_198p0_0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.02434714208522909,0.02512314208522909,0.0260853036210751,0.0417257894875449,0.0017381615358460119,0.01660264740231581
KIDS_4.6_-30.2,KIDS_4p6_m30p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.048627535250569176,-0.04748253525056917,0.1757427075218661,0.1816787939285528,0.22437024277243528,0.22916132917912196
KIDS_231.0_1.5,KIDS_231p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.03538872463446838,-0.03533672463446835,0.0486418374122829,0.0528803309580956,0.08403056204675127,0.08821705559256396
KIDS_46.8_-34.1,KIDS_46p8_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.04914014084050716,0.04914014084050716,0.1995123499720235,0.2127407496264504,0.15037220913151633,0.16360060878594324
KIDS_171.0_-0.5,KIDS_171p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.04524241960234518,-0.0462314196023452,1.3062217302593435,0.8517462920887066,1.3514641498616886,0.8979777116910518
KIDS_46.2_-35.1,KIDS_46p2_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.05921099980321945,-0.057891999803219435,0.0571761940547592,0.0577983266397775,0.11638719385797865,0.11569032644299693
KIDS_27.3_-29.2,KIDS_27p3_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.06406241945632649,-0.06324941945632648,0.1989545403978678,0.2180583763778564,0.26301695985419427,0.28130779583418286
KIDS_212.0_1.5,KIDS_212p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.014763729115769855,0.015762729115769855,0.111657789292419,0.1228196812793577,0.09689406017664914,0.10705695216358785
KIDS_224.6_-2.5,KIDS_224p6_m2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.05747585326080397,0.05829085326080398,0.0901410609625678,0.0916776336169224,0.03266520770176383,0.03338678035611842
KIDS_30.0_-34.1,KIDS_30p0_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.05037383878284871,-0.048280838782848695,0.168790052130569,0.1711483468837276,0.2191638909134177,0.2194291856665763
KIDS_15.4_-33.1,KIDS_15p4_m33p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.05092080911356475,-0.05087080911356476,0.1324289515181039,0.1310137598104691,0.18334976063166866,0.18188456892403385
KIDS_17.5_-31.2,KIDS_17p5_m31p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.02952340054901939,-0.028332400549019393,0.1524517419823235,0.1529189286695538,0.1819751425313429,0.1812513292185732
KIDS_338.6_-28.2,KIDS_338p6_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.037239500659519045,0.03907450065951905,0.1140233439313841,0.1124420774159851,0.07678384327186505,0.07336757675646605
KIDZ_330.5_1.9,OMEGACAM_330p5_1p9_r_SDSS.V1.2.0A_KiDS-1347_GAaP_Gaia.fits,KiDZ,0.06991387610963208,0.06985287610963208,0.09912633440832,0.0984640265456145,0.02921245829868792,0.02861115043598242
